City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,9.9,83,88,1.79,NZ,1682532073
1,muisne,0.6,-80.0333,28.96,70,59,3.5,EC,1682532075
2,flying fish cove,-10.4217,105.6791,27.28,77,100,4.69,CX,1682532077
3,blackmans bay,-43.0167,147.3167,14.29,75,90,3.97,AU,1682531636
4,papatowai,-46.5619,169.4708,10.9,87,67,5.34,NZ,1682531659
5,adamstown,-25.066,-130.1015,24.05,60,16,2.45,PN,1682531629
6,talnakh,69.4865,88.3972,-5.44,99,99,2.72,RU,1682531635
7,port-aux-francais,-49.35,70.2167,7.63,99,100,2.09,TF,1682531630
8,gao,16.6362,1.637,35.13,6,0,4.51,ML,1682532078
9,geraldton,-28.7667,114.6,12.23,94,3,2.57,AU,1682531684
10,nimigea de sus,47.2833,24.3167,5.87,83,100,2.15,RO,1682532079
11,whistler,50.1164,-122.9695,5.57,93,100,3.6,CA,1682532079
12,sitka,57.0531,-135.33,4.94,81,100,7.72,US,1682531637
13,port elizabeth,-33.918,25.5701,21.16,96,0,2.57,ZA,1682531973
14,avarua,-21.2078,-159.775,25.03,78,84,3.6,CK,1682531633
15,krasnik,50.9236,22.2271,7.38,65,93,4.9,PL,1682532081
16,aykhal,66.0,111.5,-10.3,100,87,1.02,RU,1682532081
17,port mathurin,-19.6833,63.4167,26.05,82,14,5.36,MU,1682531706
18,yellowknife,62.456,-114.3525,0.29,100,100,4.12,CA,1682531547
19,bredasdorp,-34.5322,20.0403,15.97,77,94,1.51,ZA,1682531642
20,homer,59.6425,-151.5483,5.58,71,72,1.5,US,1682532082
21,ancud,-41.8697,-73.8203,11.67,83,88,0.95,CL,1682531734
22,mili,6.0815,171.735,27.9,79,99,8.3,MH,1682531797
23,kruisfontein,-34.0033,24.7314,19.38,88,62,2.53,ZA,1682531711
24,margaret river,-33.95,115.0667,16.65,67,95,7.71,AU,1682531972
25,orcopampa,-15.2661,-72.3417,16.53,30,46,1.43,PE,1682532084
26,bethel,41.3712,-73.414,15.2,55,100,6.17,US,1682531636
27,itoman,26.1247,127.6694,20.01,74,100,6.17,JP,1682531692
28,andergrove,-21.0833,149.1833,23.46,72,34,7.2,AU,1682532085
29,minas de marcona,-15.2119,-75.1103,23.05,56,7,5.75,PE,1682531666
30,greymouth,-42.4667,171.2,7.79,87,27,3.28,NZ,1682532086
31,albany,42.6001,-73.9662,16.07,35,81,0.89,US,1682531271
32,iskateley,67.6803,53.1512,-4.73,95,44,4.41,RU,1682531767
33,jamestown,42.097,-79.2353,9.73,64,75,2.06,US,1682531655
34,lakatoro,-16.0999,167.4164,25.86,81,99,1.47,VU,1682532087
35,jeddah,21.5169,39.2192,29.92,45,0,6.17,SA,1682532087
36,cill airne,52.05,-9.5167,12.03,82,75,5.66,IE,1682532007
37,hithadhoo,-0.6,73.0833,28.6,76,99,3.35,MV,1682531778
38,mar del plata,-38.0023,-57.5575,25.01,80,0,5.14,AR,1682532088
39,grytviken,-54.2811,-36.5092,0.73,79,18,5.37,GS,1682531637
40,hawaiian paradise park,19.5933,-154.9731,25.02,75,0,2.06,US,1682531685
41,college,64.8569,-147.8028,0.05,56,40,1.54,US,1682531649
42,invercargill,-46.4,168.35,11.68,82,77,0.89,NZ,1682531639
43,acarau,-2.8856,-40.12,28.19,76,45,5.6,BR,1682531535
44,great falls,47.5002,-111.3008,14.81,41,0,7.72,US,1682532064
45,afaahiti,-17.75,-149.2833,24.93,85,77,5.1,PF,1682531758
46,calbuco,-41.768,-73.1273,10.56,88,58,2.32,CL,1682532090
47,tupiza,-21.45,-65.7167,20.27,10,0,1.58,BO,1682532091
48,kapuskasing,49.4169,-82.4331,1.05,69,100,4.12,CA,1682532091
49,saudarkrokur,65.7461,-19.6394,0.17,60,29,2.77,IS,1682531731
50,ushuaia,-54.8,-68.3,7.79,70,40,8.23,AR,1682531632
51,kirakira,-10.4544,161.9205,25.96,83,94,1.5,SB,1682532092
52,tiksi,71.6872,128.8694,-16.52,95,17,1.79,RU,1682531634
53,dublin,37.7021,-121.9358,25.44,48,0,0.45,US,1682531990
54,wamba,8.9333,8.6,24.26,75,96,5.24,NG,1682532093
55,fandriana,-20.2333,47.3833,16.06,97,31,1.43,MG,1682532093
56,laojunmiao,39.8333,97.7333,5.42,54,100,7.25,CN,1682531752
57,valentin gomez farias,28.2167,-106.5833,23.15,6,100,3.86,MX,1682532093
58,ugoofaaru,5.6667,73.0,29.02,75,18,5.54,MV,1682532094
59,iqaluit,63.7506,-68.5145,-0.15,93,75,2.57,CA,1682531656
60,hermanus,-34.4187,19.2345,14.33,83,98,2.83,ZA,1682531678
61,lagunillas,10.1301,-71.2595,30.45,60,48,4.08,VE,1682531630
62,kish,26.5578,54.0194,25.15,73,0,6.17,IR,1682532094
63,sao jose,-28.2333,-49.1667,24.7,44,67,1.13,BR,1682531853
64,edinburgh of the seven seas,-37.0676,-12.3116,15.87,72,87,9.95,SH,1682531635
65,tshabong,-26.05,22.45,26.78,31,7,2.59,BW,1682532095
66,leh,34.1667,77.5833,1.83,55,99,2.66,IN,1682531741
67,udachny,66.4167,112.4,-5.76,96,92,2.21,RU,1682531746
68,iquique,-20.2208,-70.1431,24.02,70,21,2.71,CL,1682532097
69,nar'yan-mar,67.6713,53.087,-4.81,95,41,4.35,RU,1682531761
70,mao,39.8885,4.2658,19.31,55,0,3.09,ES,1682531821
71,susuman,62.7833,148.1667,-15.8,99,64,0.65,RU,1682531709
72,hinjilikatu,19.4833,84.75,27.94,69,98,1.26,IN,1682532098
73,constantia,44.1833,28.65,12.61,87,98,7.75,RO,1682531592
74,nova sintra,14.8667,-24.7167,19.82,76,0,8.22,CV,1682531799
75,lesogorsk,56.0458,99.5136,-4.67,91,78,1.32,RU,1682532098
76,wailua homesteads,22.0669,-159.378,22.24,88,75,2.57,US,1682531651
77,olonkinbyen,70.9221,-8.7187,-2.92,75,94,7.15,SJ,1682531637
78,tucurui,-3.7661,-49.6725,29.85,73,97,1.43,BR,1682532099
79,lebu,-37.6167,-73.65,16.66,75,83,3.5,CL,1682532100
80,codrington,-38.2667,141.9667,18.19,64,45,4.59,AU,1682531732
81,lodeynoye pole,60.726,33.5531,12.56,68,100,2.08,RU,1682532100
82,garissa,-0.4536,39.6401,27.09,73,78,5.74,KE,1682532101
83,tazovsky,67.4667,78.7,-12.39,99,80,2.22,RU,1682531692
84,celestun,20.8667,-90.4,31.23,53,7,3.64,MX,1682532101
85,bure,10.7,37.0667,18.84,61,89,2.14,ET,1682532101
86,cabimas,10.3883,-71.4399,30.1,60,75,2.8,VE,1682531877
87,gadzhiyevo,69.2551,33.3362,-1.99,80,99,3.16,RU,1682531685
88,sos'va,59.1766,61.8558,14.32,60,100,2.78,RU,1682532102
89,vorotynets,56.0603,45.8633,11.43,86,89,6.24,RU,1682532102
90,thompson,55.7435,-97.8558,9.09,31,40,5.14,CA,1682531691
91,revda,56.801,59.9303,14.4,47,100,4.03,RU,1682532103
92,oranjemund,-28.55,16.4333,14.54,89,18,1.67,NA,1682532016
93,vadso,70.0744,29.7487,2.49,75,75,8.23,NO,1682531694
94,pitanga,-24.7572,-51.7614,16.78,99,100,1.55,BR,1682532104
95,puerto natales,-51.7236,-72.4875,12.25,43,100,11.83,CL,1682531644
96,longyearbyen,78.2186,15.6401,-2.09,74,75,1.03,SJ,1682531673
97,naze,28.3667,129.4833,15.51,68,2,4.29,JP,1682531794
98,vila franca do campo,37.7167,-25.4333,18.23,82,11,6.38,PT,1682532105
99,kodiak,57.79,-152.4072,2.73,81,0,1.54,US,1682531699
100,jayapura,-2.5333,140.7,24.66,91,100,2.01,ID,1682531983
101,n'zeto,-7.2312,12.8666,26.17,90,100,3.16,AO,1682532105
102,cheremukhovo,60.3484,59.9851,9.82,91,100,1.45,RU,1682532106
103,stanley,54.868,-1.6985,9.77,66,20,3.09,GB,1682531955
104,genhe,50.7833,121.5167,-3.31,67,45,1.9,CN,1682532106
105,deniliquin,-35.5333,144.9667,17.93,50,49,5.69,AU,1682532107
106,touros,-5.1989,-35.4608,28.8,71,67,7.39,BR,1682531597
107,nakambala,-15.8324,27.7799,19.56,46,19,2.13,ZM,1682532107
108,queenstown,-31.8976,26.8753,18.25,34,6,2.94,ZA,1682531725
109,isla vista,34.4133,-119.861,23.52,93,100,2.57,US,1682532108
110,jiangzi,28.95,89.6333,0.58,47,87,2.49,CN,1682532108
111,georgetown,5.4112,100.3354,26.96,100,20,2.06,MY,1682531651
112,vorgashor,67.5833,63.95,-11.17,98,84,1.84,RU,1682531724
113,leticia,-4.2153,-69.9406,31.03,66,40,2.06,CO,1682532109
114,broome,42.2506,-75.833,12.32,71,100,4.63,US,1682531687
115,ilulissat,69.2167,-51.1,1.01,93,100,2.06,GL,1682531698
116,badger,64.8,-147.5333,0.0,56,75,1.54,US,1682531641
117,remire-montjoly,4.9167,-52.2667,25.02,88,75,0.51,GF,1682531798
118,labrador city,52.9463,-66.9114,9.95,34,75,4.12,CA,1682532040
119,midvagur,62.0511,-7.1939,5.46,60,82,4.12,FO,1682531797
120,saint-francois,46.4154,3.9054,17.69,55,0,2.57,FR,1682531633
121,grand falls-windsor,48.9332,-55.6649,5.28,76,80,1.79,CA,1682531773
122,santo estevao,-12.4303,-39.2514,29.7,46,86,4.1,BR,1682532112
123,turpan,42.9333,89.1667,19.09,16,4,3.62,CN,1682532112
124,qarazhal,48.0078,70.7903,14.51,36,1,4.26,KZ,1682532113
125,caibarien,22.5206,-79.4669,28.15,60,63,4.87,CU,1682532013
126,punta arenas,-53.15,-70.9167,10.06,57,40,9.26,CL,1682531973
127,rawson,-43.3002,-65.1023,18.12,50,19,2.58,AR,1682531954
128,dudinka,69.4058,86.1778,-5.21,96,100,3.84,RU,1682531952
129,sangueya,10.7,-14.3667,29.56,52,98,5.37,GN,1682532114
130,saipan,15.1355,145.701,27.39,100,40,7.72,MP,1682531695
131,utrik,11.2278,169.8474,26.72,79,53,9.64,MH,1682531635
132,manzanares el real,40.7263,-3.8627,27.16,25,0,1.54,ES,1682532115
133,praia da vitoria,38.7333,-27.0667,20.14,73,40,9.79,PT,1682531653
134,ribeira grande,38.5167,-28.7,18.22,88,40,10.28,PT,1682531637
135,key west,24.5557,-81.7826,29.44,71,8,2.68,US,1682532048
136,whitehorse,60.7161,-135.0538,1.72,80,100,3.6,CA,1682531696
137,port douglas,-16.4833,145.4667,22.66,83,12,3.64,AU,1682531681
138,tura,25.5198,90.2201,24.65,37,48,2.0,IN,1682531677
139,antsiranana,-12.2787,49.2917,25.17,90,100,3.24,MG,1682532116
140,keflavik,64.0049,-22.5624,2.95,93,100,6.69,IS,1682531639
141,nuku'alofa,-21.1333,-175.2,24.19,94,100,4.63,TO,1682531971
142,alice springs,-23.7,133.8833,17.75,68,91,4.91,AU,1682531697
143,narrabri,-30.3167,149.7833,13.62,75,100,0.89,AU,1682532117
144,kerouane,9.2667,-9.0167,29.34,44,99,2.32,GN,1682532117
145,nuuk,64.1835,-51.7216,0.34,100,75,1.03,GL,1682531696
146,tughyl,47.7252,84.2063,9.2,54,13,4.77,KZ,1682532118
147,houghton,47.1219,-88.569,8.18,50,0,3.6,US,1682531975
148,vilhena,-12.7406,-60.1458,29.12,65,40,2.57,BR,1682532119
149,nguigmi,14.2495,13.1092,33.24,16,42,2.75,NE,1682532119
150,nemuro,43.3236,145.575,4.13,97,100,7.88,JP,1682531663
151,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,86,0,2.0,RU,1682531442
152,castillos,-34.1667,-53.8333,21.39,73,61,3.66,UY,1682532120
153,isafjordur,66.0755,-23.124,1.02,51,0,2.57,IS,1682531662
154,new norfolk,-42.7826,147.0587,14.95,61,99,1.14,AU,1682531754
155,arar,30.9753,41.0381,28.01,8,0,2.57,SA,1682531795
156,ixtapa,20.7,-105.2,33.21,18,92,3.32,MX,1682532121
157,luderitz,-26.6481,15.1594,15.06,87,4,2.12,NA,1682531682
158,zhangye,38.9342,100.4517,8.65,66,91,7.19,CN,1682532122
159,murghob,38.1702,73.9667,-4.43,56,13,2.59,TJ,1682532122
160,kokopo,-4.352,152.2633,25.23,88,44,1.68,PG,1682531710
161,klyuchi,52.2667,79.1667,13.88,47,74,2.13,RU,1682531633
162,aasiaat,68.7098,-52.8699,-0.7,96,99,3.2,GL,1682531701
163,kerikeri,-35.2268,173.9474,13.87,91,37,1.54,NZ,1682531649
164,vorkuta,67.5,64.0,-10.75,100,80,1.23,RU,1682531675
165,diu,20.7141,70.9822,26.37,68,31,5.59,IN,1682532098
166,chonchi,-42.6128,-73.8092,10.56,82,60,0.38,CL,1682531636
167,quatre cocos,-20.2078,57.7625,25.05,86,22,4.3,MU,1682532125
168,kuanda,56.3161,116.0806,-4.82,74,11,0.52,RU,1682532125
169,cooma,-36.2333,149.1333,7.93,90,83,1.65,AU,1682532126
170,fellsmere,27.7678,-80.6014,30.01,74,5,2.17,US,1682532126
171,claveria,18.6074,121.0832,24.7,85,48,4.99,PH,1682532127
172,ondjiva,-17.0667,15.7333,25.88,28,61,0.33,AO,1682532127
173,bayanhongor,46.7167,100.1167,-6.05,37,17,2.88,MN,1682532128
174,les cayes,18.2,-73.75,28.77,62,52,4.59,HT,1682532128
175,sona,45.4388,10.8255,18.75,39,20,1.54,IT,1682532128
176,turaif,31.6725,38.6637,23.14,9,0,2.06,SA,1682532129
177,puerto ayora,-0.7393,-90.3518,29.98,86,27,4.02,EC,1682531441
178,st. john's,47.5649,-52.7093,5.08,83,100,8.23,CA,1682531638
179,puerto deseado,-47.7503,-65.8938,15.82,39,17,6.83,AR,1682531822
180,nyurba,63.2842,118.3319,-2.66,98,100,1.23,RU,1682532130
181,cova figueira,14.8905,-24.2934,21.17,74,0,6.74,CV,1682532131
182,erenhot,43.6475,111.9767,9.16,34,66,5.23,CN,1682532132
183,langres,47.8333,5.3333,11.77,80,100,1.56,FR,1682532132
184,kingston,17.997,-76.7936,30.69,67,78,4.47,JM,1682531648
185,tindouf,27.6711,-8.1474,38.25,9,20,1.03,DZ,1682532133
186,beyneu,45.3167,55.2,20.81,42,86,3.95,KZ,1682532133
187,choibalsan,48.0667,114.5,9.33,23,87,5.69,MN,1682532134
188,mulayjah,27.271,48.4242,25.68,21,35,2.33,SA,1682532134
189,west island,-12.1568,96.8225,26.99,89,40,7.2,CC,1682531651
190,launceston,-41.45,147.1667,14.8,87,100,3.09,AU,1682532135
191,pisco,-13.7,-76.2167,24.03,73,20,4.63,PE,1682531779
192,takoradi,4.8845,-1.7554,27.38,80,100,5.18,GH,1682532136
193,lao cai,22.4833,103.95,20.84,92,13,0.52,VN,1682532136
194,tome,-36.6167,-72.95,20.34,59,100,3.49,CL,1682532137
195,mamuju,-2.6748,118.8885,25.85,88,100,1.85,ID,1682532137
196,kargil,34.5667,76.1,-0.43,84,100,2.16,IN,1682531671
197,cabeza del buey,38.7223,-5.2195,28.87,16,19,4.29,ES,1682532138
198,tsiombe,-25.3,45.4833,19.51,82,10,1.04,MG,1682531699
199,benguela,-12.5763,13.4055,27.15,85,96,3.29,AO,1682531999
